Language code (this must be sended to the server),Language name,Priority (Language must be sorted by first by Priority and then by Name)
AB,Abcaso,100
AA,Afar,100
AF,Afrikaans,100
AK,Akan,100
SQ,Albanese,100
AM,Amarico,100
AR,Arabo,100
AN,Aragonese,100
HY,Armeno,100
AS,Assamese,100
AV,Avarico,100
AE,Avestico,100
AY,Aymara,100
AZ,Azero,100
BM,Bambara,100
BA,Bashkir,100
EU,Basco,100
BE,Bielorusso,100
BN,Bengali,100
BH,Bihari,100
BI,Bislama,100
BS,Bosniaco,100
BR,Bretone,100
BG,Bulgaro,100
MY,Burmese,100
CA,Catalano; Valenciano,100
CH,Chamorro,100
CE,Ceceno,100
NY,Chichewa; Chewa; Nyanja,100
ZH,Cinese,100
CV,Chuvash,100
KW,Cornico,100
CO,Corso,100
CR,Cree,100
HR,Croato,100
CS,Ceco,100
DA,Danese,100
DV,Divehi,100
NL,Olandese; Fiammingo,100
DZ,Dzongkha,100
EN,Inglese,1
EO,Esperanto,100
ET,Estone,100
EE,Ewe,100
FO,Faroese,100
FJ,Fijiano,100
FI,Finlandese,100
FR,Francese,1
FY,Frisone,100
FF,Fula,100
GL,Galiziano,100
LG,Ganda,100
KA,Georgiano,100
DE,Tedesco,1
EL,Greco moderno,100
KL,Groenlandese; Kalaallisut,100
GN,Guarani,100
GU,Gujarati,100
HT,Creolo haitiano; Haitiano,100
HA,Hausa,100
HE,Ebraico,100
HZ,Herero,100
HI,Hindi,100
HO,Hiri Motu,100
HU,Ungherese,100
IS,Islandese,100
IO,Ido,100
IG,Igbo,100
ID,Indonesiano,100
IA,Interlingua de IALA,100
IE,"Interlingue, Occidental",100
IU,Inuktitut,100
IK,Inupiaq,100
GA,Gaelico irlandese,100
IT,Italiano,1
JA,Giapponese,100
JV,Giavanese,100
KN,Kannada,100
KR,Kanuri,100
KS,Kashmiri,100
KK,Kazaka,100
KM,Khmer,100
KI,Kikuyu; Gikuyu,100
RW,Kinyarwanda,100
KY,Kirghiso,100
KV,Komi,100
KG,Kongo,100
KO,Coreano,100
KJ,Kuanyama; Kwanyama,100
KU,Curdo,100
LO,Lao,100
LA,Latino,100
LV,Lettone,100
LI,Limburghese,100
LN,Lingala,100
LT,Lituano,100
LU,Luba-katanga,100
LB,Lussemburghese,100
MK,Macedone,100
MG,Malgascio,100
MS,Malay,100
ML,Malayalam,100
MT,Maltese,100
GV,Mannese,100
MI,Maori,100
MR,Marathi,100
MH,Marshallese,100
MO,Moldavo,100
MN,Mongolo,100
NA,Nauru,100
NV,Navajo; Navaho,100
ND,Ndebele settentrionale,100
NR,Ndebele meridionale,100
NG,Ndonga,100
NE,Nepalese,100
NO,Norvegese,100
NB,Norvegese Bokmål,100
NN,Norvegese Nynorsk,100
OC,Occitano; Provenzale,100
OJ,Ojibwa,100
OR,Oriya,100
OM,Oromo,100
OS,Osseto,100
PI,Pali,100
FA,Persiano,100
PL,Polacco,100
PT,Portoghese,100
PA,Punjabi,100
PS,Pashto,100
QU,Quechua,100
RM,"romancio, Reto-romanzo",100
RO,Rumeno,100
RN,Rundi,100
RU,Russo,100
SM,Samoano,100
SG,Sango,100
SA,Sanscrito,100
SC,Sardo,100
GD,Gaelico scozzese,100
SR,Serbo,100
SN,Shona,100
II,Sichuan Yi,100
SD,Sindhi,100
SI,Singalese; Sinhala,100
SK,Slovacco,100
SL,Sloveno,100
SO,Somalo,100
ST,Sesotho,100
ES,Spagnolo; Castigliano,1
SU,Sondanese,100
SW,Swahili,100
SS,Swati,100
SV,Svedese,100
TL,Tagalog,100
TY,Tahitiano,100
TG,Tagico,100
TA,Tamil,100
TT,Tataro,100
TE,Telugu,100
TH,Thai,100
BO,Tibetano,100
TI,Tigrino,100
TO,Tonga (Tongano Islands),100
TS,Tsonga,100
TN,Tswana,100
TR,Turco,100
TK,Turcmeno,100
TW,Twi,100
UG,Uighuro; Uyghur,100
UK,Ucraino,100
UR,Urdu,100
UZ,"Usbeco; usbeko, uzbeco, usbecco",100
VE,Venda,100
VI,Vietnamita,100
VO,Volapük,100
WA,Vallone,100
CY,Gallese,100
WO,Wolof,100
XH,Xhosa,100
YI,Yiddish,100
YO,Yoruba,100
ZA,"Zhuang, Chuang",100
ZU,Zulu,100
